,NMF_Cell_Type_1,NMF_Cell_Type_2,NMF_Cell_Type_3,NMF_Cell_Type_4,NMF_Cell_Type_5,NMF_Cell_Type_6,NMF_Cell_Type_7,NMF_Cell_Type_8,NMF_Cell_Type_9,NMF_Cell_Type_10,NMF_Cell_Type_11,NMF_Cell_Type_12,NMF_Cell_Type_13,NMF_Cell_Type_14,NMF_Cell_Type_15
dd37ccd0-31d9-4605-8b8e-618bedc80c38,0.06236872103887408,0.2695171245719449,0.08806691837756914,0.1664354583092254,0.0,0.049791055679669786,0.12807423503618642,0.0,0.0,0.10065641407964816,0.0,0.019662153032250877,0.035493378259890115,0.040753604985742535,0.0391809366289986
fff35c80-88cd-4923-80c1-0273ba5bed0f,0.11927414431939488,0.08708683227065683,0.07649754923965114,0.0,0.11587312560415722,0.0,0.0067769218330416495,0.07739352135146896,0.05220999509126594,0.028616340280754694,0.0,0.0,0.0,0.11388774067854884,0.3223838293310597
638b78d6-4523-4dd3-8d8a-8c46682f3fd1,0.028123776108628703,0.36946012550058344,0.06671977721346763,0.139223451125257,0.0,0.0,0.16516265539194114,0.06994636852704049,0.0,0.047685350899765444,0.1136784952333161,0.0,0.0,0.0,0.0
e44e2ac3-4a83-40b0-b266-a36626ffd6ae,0.03769332678829724,0.01825623005063218,0.0838702204337967,0.023939789614198705,0.016058068083535573,0.0,0.15811962730512188,0.29365897344522024,0.1038562333020001,0.0,0.016200282722522562,0.013766333016684139,0.1968430957954008,0.01012846775297266,0.02760935168961719
3e698caf-4d86-43f5-b657-5f4cef64fc5f,0.02826005383327427,0.0,0.2162802830626393,0.23170030359597832,0.0,0.07007753518102905,0.008060692023153432,0.1266324125567529,0.0036828794274849285,0.0300198398334446,0.06465411462825535,0.0,0.11482861310501809,0.03104905273094326,0.07475422002202652
ffc73551-55e9-4bbb-bd15-76088551964b,0.05329745670129849,0.0322514011173043,0.09491060735525299,0.0,0.009781289153032576,0.04315623961110892,0.0,0.1133730468295249,0.045169387573158824,0.23948679766913678,0.04021228204862141,0.22262329812731538,0.10573819381424536,0.0,0.0
8e57db50-eb17-4d95-8806-081290ea3cfc,0.0,0.011617325449104692,0.07179031630975653,0.08732896739237832,0.5521485872846115,0.0,0.0,0.0,0.0,0.0,0.08995206424624687,0.057395401752979705,0.12976733756492234,0.0,0.0
79378590-e28e-403b-bbde-c76c0195a980,0.05706729998867228,0.09472652646898334,0.19179310038796699,0.06294647169532898,0.0,0.02274728959134759,0.0,0.0,0.0,0.05708023269283276,0.18077946813837945,0.23670979489212812,0.0,0.0,0.09614981614436056
3997c824-8b85-4e1d-b4b1-d32c26155296,0.11472923096104122,0.05728809069348419,0.006374934935453165,0.020353626744908343,0.010762400447876212,0.013437452615577739,0.01856986568725224,0.0,0.0,0.00021142641579706257,0.033693836570662807,0.02254263242477363,0.07130484603525584,0.6307316564679175,0.0
9072cf34-8632-4b57-acc8-58e8fe21c136,0.0,0.0,0.15051846359279056,0.0,0.0,0.0,0.007856924036005715,0.0,0.07341322326139513,0.040864703310091385,0.0,0.07532989262843767,0.0,0.6520167931712796,0.0
e08f84fe-0013-4734-9966-cd734e6fedc5,0.07904568166621209,0.03455890593528379,0.059146813061270474,0.0,0.015810268467519147,0.0,0.0,0.03001609441620439,0.16151601921311365,0.0,0.07047372804934267,0.12236285048766178,0.38823881577806346,0.0,0.038830822925328516
6cf73307-dcf9-43fb-8848-618ae5c1723b,0.05165956016778659,0.1345511704619922,0.02389309883876765,0.3253338101502027,0.0,0.0,0.334523987571869,0.05453665382786961,0.059630391968269636,0.0,0.0,0.0,0.00023028429186232986,0.015641042721380206,0.0
088c2e4e-fc4e-4252-84ed-e3ca2c401958,0.005732210710774497,0.09492244453671815,0.011923069497699803,0.08841987279926251,0.0,0.0956298447361591,0.10345445046235867,0.05972806828144658,0.06018086786336893,0.01279742865035259,0.11365025422817322,0.05903013850883149,0.027597862027766342,0.0,0.2669334876970882
6d271451-affa-4c76-bce5-6bf8622d83a9,0.14622425776788067,0.03557048146092297,0.07743701280203781,0.0,0.09385228086116525,0.0,0.0,0.04087320582059063,0.14344269845509275,0.014169308334063213,0.0062788202090630916,0.0,0.0212325868509673,0.0717858266852754,0.349133520752941
137dfe0a-2a2b-423c-9a8a-78233b6ead74,0.0,0.13109738452481082,0.02398628041072857,0.0,0.02852310678292545,0.0,0.046625810698324624,0.4511965800319265,0.10783772180372886,0.016672461906489446,0.0,0.0,0.1940606538410657,0.0,0.0
153bc9ff-39c9-4890-a085-a46c530a7e97,0.0,0.3736436801572626,0.2717282502127438,0.04088859605824822,0.0,0.0,0.0,0.04683420562356729,0.2195466009073256,0.0,0.0,0.029722884439213698,0.016049593484575273,0.0015861891170632406,0.0
d5fe3b27-c6a6-4a35-a173-3f7b73c2ed14,0.08667430294235551,0.3348763158123316,0.05266754232241643,0.0,0.07120933720765281,0.09178712511355584,0.05743017824824605,0.019351586310383563,0.0,0.013098774633845255,0.03647031660645271,0.0,0.032758152746594334,0.0,0.20367636805616587
e4ad3f09-7e23-4a84-b8f3-3faf2db890f4,0.022793920301114965,0.0,0.23066399081874595,0.039668975736112236,0.04711297657406839,0.0,0.0,0.02074637274975929,0.0,0.08661635073765447,0.32496206465406047,0.11047091736491951,0.015946683221653074,0.04831864416756967,0.052699103674341996
b351345a-18c2-42ed-8911-c37267c9cb58,0.17908957332413053,0.3757309481049652,0.0,0.06575206059310056,0.03971751688561665,0.07994739662880959,0.0007546020616382899,0.08241392051317771,0.0,0.019343542808013467,0.09229330047409799,0.0,0.0,0.0027364065581185625,0.062220732048331194
27bb612c-a74a-4088-b0ea-1dbe28e7a725,0.0,0.0,0.16895571861605058,0.13589567994289156,0.0,0.09950094895725885,0.0,0.1469130102080189,0.0,0.22730451180273328,0.0414185700256287,0.0374233582870733,0.11373339515792742,0.0,0.02885480700241741
ffc915b8-cacd-4974-a040-ee496f0efc0e,0.039200318517922446,0.0015479609611390478,0.11849985142713793,0.1033624345466707,0.4594507535608633,0.0,0.0,0.013199663870297038,0.0,0.007859794059310974,0.04225588049980684,0.09582575129125406,0.07696848095687008,0.0,0.04182911030872762
